measured matmul throughput: 6.39TFLOP/s
model: 11.02M params (10.62M non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step   999 | loss 0.4651 | lr 5.88e-04 | gnorm  1.241 |    29.7k tok/s | mfu 32.3%
  eval @ 1000: val_loss 4.9314 ppl 138.57
step  1009 | loss 0.4543 | lr 5.80e-04 | gnorm  1.223 |    29.8k tok/s | mfu 32.4%
step  1019 | loss 0.4053 | lr 5.73e-04 | gnorm  1.149 |    29.7k tok/s | mfu 32.4%
step  1029 | loss 0.4042 | lr 5.66e-04 | gnorm  1.177 |    29.7k tok/s | mfu 32.3%
step  1039 | loss 0.3800 | lr 5.58e-04 | gnorm  1.128 |    29.7k tok/s | mfu 32.4%
step  1049 | loss 0.3881 | lr 5.51e-04 | gnorm  1.140 |    29.7k tok/s | mfu 32.4%
step  1059 | loss 0.3677 | lr 5.43e-04 | gnorm  1.132 |    29.7k tok/s | mfu 32.4%
step  1069 | loss 0.3804 | lr 5.36e-04 | gnorm  1.175 |    29.7k tok/s | mfu 32.4%
step  1079 | loss 0.3147 | lr 5.28e-04 | gnorm  1.026 |    29.7k tok/s | mfu 32.3%
step  1089 | loss 0.4266 | lr 5.21e-04 | gnorm  1.282 |    29.7k tok/s | mfu 32.4%
step  1099 | loss 0.3500 | lr 5.14e-04 | gnorm  1.116 |    29.7k tok/s | mfu 32.3%
step  1109 | loss 0.3147 | lr 5.06e-04 | gnorm  1.068 |    29.7k tok/s | mfu 32.4%
step  1119 | loss 0.3170 | lr 4.99e-04 | gnorm  1.103 |    29.7k tok/s | mfu 32.4%
step  1129 | loss 0.3719 | lr 4.91e-04 | gnorm  1.192 |    29.7k tok/s | mfu 32.4%
step  1139 | loss 0.2895 | lr 4.84e-04 | gnorm  1.040 |    29.7k tok/s | mfu 32.3%
step  1149 | loss 0.3046 | lr 4.77e-04 | gnorm  1.034 |    29.7k tok/s | mfu 32.3%
step  1159 | loss 0.2816 | lr 4.69e-04 | gnorm  1.012 |    29.6k tok/s | mfu 32.3%
step  1169 | loss 0.2604 | lr 4.62e-04 | gnorm  0.942 |    29.6k tok/s | mfu 32.3%
step  1179 | loss 0.3020 | lr 4.55e-04 | gnorm  1.089 |    29.7k tok/s | mfu 32.3%
step  1189 | loss 0.3266 | lr 4.47e-04 | gnorm  1.136 |    29.7k tok/s | mfu 32.3%
step  1199 | loss 0.2747 | lr 4.40e-04 | gnorm  1.000 |    29.7k tok/s | mfu 32.3%
step  1209 | loss 0.2562 | lr 4.33e-04 | gnorm  0.983 |    29.7k tok/s | mfu 32.3%
step  1219 | loss 0.2488 | lr 4.26e-04 | gnorm  0.933 |    29.7k tok/s | mfu 32.3%
step  1229 | loss 0.2227 | lr 4.19e-04 | gnorm  0.885 |    29.6k tok/s | mfu 32.3%
step  1239 | loss 0.2669 | lr 4.12e-04 | gnorm  1.005 |    29.7k tok/s | mfu 32.4%
step  1249 | loss 0.2335 | lr 4.05e-04 | gnorm  0.881 |    29.7k tok/s | mfu 32.3%
  eval @ 1250: val_loss 5.3924 ppl 219.74
step  1259 | loss 0.2429 | lr 3.98e-04 | gnorm  0.941 |    29.8k tok/s | mfu 32.4%
step  1269 | loss 0.2177 | lr 3.91e-04 | gnorm  0.878 |    29.7k tok/s | mfu 32.3%
step  1279 | loss 0.2320 | lr 3.84e-04 | gnorm  0.895 |    29.6k tok/s | mfu 32.3%
step  1289 | loss 0.2501 | lr 3.77e-04 | gnorm  0.940 |    29.8k tok/s | mfu 32.4%
step  1299 | loss 0.2170 | lr 3.70e-04 | gnorm  0.843 |    29.7k tok/s | mfu 32.4%
step  1309 | loss 0.1835 | lr 3.63e-04 | gnorm  0.756 |    29.7k tok/s | mfu 32.3%
step  1319 | loss 0.2101 | lr 3.56e-04 | gnorm  0.895 |    29.7k tok/s | mfu 32.4%
step  1329 | loss 0.2027 | lr 3.50e-04 | gnorm  0.765 |    29.7k tok/s | mfu 32.4%
step  1339 | loss 0.2170 | lr 3.43e-04 | gnorm  0.831 |    29.7k tok/s | mfu 32.4%
step  1349 | loss 0.1844 | lr 3.36e-04 | gnorm  0.787 |    29.6k tok/s | mfu 32.3%
step  1359 | loss 0.2326 | lr 3.30e-04 | gnorm  0.943 |    29.7k tok/s | mfu 32.3%
step  1369 | loss 0.1944 | lr 3.23e-04 | gnorm  0.812 |    29.7k tok/s | mfu 32.4%
step  1379 | loss 0.2008 | lr 3.17e-04 | gnorm  0.818 |    29.7k tok/s | mfu 32.4%
step  1389 | loss 0.1745 | lr 3.11e-04 | gnorm  0.724 |    29.7k tok/s | mfu 32.3%
step  1399 | loss 0.1879 | lr 3.04e-04 | gnorm  0.800 |    29.7k tok/s | mfu 32.4%
step  1409 | loss 0.1850 | lr 2.98e-04 | gnorm  0.810 |    29.7k tok/s | mfu 32.3%
step  1419 | loss 0.1636 | lr 2.92e-04 | gnorm  0.698 |    29.7k tok/s | mfu 32.4%
step  1429 | loss 0.1809 | lr 2.86e-04 | gnorm  0.753 |    29.7k tok/s | mfu 32.4%
step  1439 | loss 0.1746 | lr 2.80e-04 | gnorm  0.729 |    29.7k tok/s | mfu 32.3%
step  1449 | loss 0.1704 | lr 2.74e-04 | gnorm  0.704 |    29.6k tok/s | mfu 32.3%
step  1459 | loss 0.1760 | lr 2.68e-04 | gnorm  0.771 |    29.7k tok/s | mfu 32.3%
step  1469 | loss 0.1705 | lr 2.63e-04 | gnorm  0.740 |    29.7k tok/s | mfu 32.3%
step  1479 | loss 0.1550 | lr 2.57e-04 | gnorm  0.679 |    29.7k tok/s | mfu 32.3%
step  1489 | loss 0.1618 | lr 2.51e-04 | gnorm  0.732 |    29.7k tok/s | mfu 32.3%
step  1499 | loss 0.1630 | lr 2.46e-04 | gnorm  0.732 |    29.7k tok/s | mfu 32.3%
  eval @ 1500: val_loss 5.6717 ppl 290.54
step  1509 | loss 0.1631 | lr 2.40e-04 | gnorm  0.702 |    29.8k tok/s | mfu 32.4%
step  1519 | loss 0.1532 | lr 2.35e-04 | gnorm  0.643 |    29.7k tok/s | mfu 32.4%
step  1529 | loss 0.1537 | lr 2.30e-04 | gnorm  0.663 |    29.6k tok/s | mfu 32.2%
step  1539 | loss 0.1570 | lr 2.25e-04 | gnorm  0.716 |    29.7k tok/s | mfu 32.4%
step  1549 | loss 0.1600 | lr 2.19e-04 | gnorm  0.664 |    29.7k tok/s | mfu 32.3%
step  1559 | loss 0.1419 | lr 2.14e-04 | gnorm  0.614 |    29.2k tok/s | mfu 31.8%
step  1569 | loss 0.1452 | lr 2.10e-04 | gnorm  0.620 |    29.7k tok/s | mfu 32.4%
step  1579 | loss 0.1413 | lr 2.05e-04 | gnorm  0.653 |    29.7k tok/s | mfu 32.4%
step  1589 | loss 0.1428 | lr 2.00e-04 | gnorm  0.616 |    29.7k tok/s | mfu 32.3%
